Order ID,Product,Quantity Ordered,Price Each
176637,AAA Batteries (4-pack),1,2.99
176638,USB-C Charging Cable,1,11.95
176639,Macbook Pro Laptop,1,1700.0
176640,Wired Headphones,2,11.99
176641,Lightning Charging Cable,1,14.95
176642,AA Batteries (4-pack),1,3.84
176643,Macbook Pro Laptop,1,1700.0
176644,USB-C Charging Cable,1,11.95
176645,AAA Batteries (4-pack),3,2.99
176646,Macbook Pro Laptop,1,1700.0
176647,Google Phone,1,600.0
176648,27in FHD Monitor,1,149.99
176649,USB-C Charging Cable,1,11.95
176650,Lightning Charging Cable,1,14.95
176651,iPhone,1,700.0
176652,LG Washing Machine,1,600.0
176653,AA Batteries (4-pack),1,3.84
176654,USB-C Charging Cable,1,11.95
176655,Apple Airpods Headphones,1,150.0
176656,Google Phone,1,600.0
176657,ThinkPad Laptop,1,999.99
176658,AAA Batteries (4-pack),2,2.99
176659,20in Monitor,1,109.99
176660,AA Batteries (4-pack),1,3.84
176661,Wired Headphones,1,11.99
176662,34in Ultrawide Monitor,1,379.99
176663,Bose SoundSport Headphones,1,99.99
176664,AAA Batteries (4-pack),1,2.99
176665,ThinkPad Laptop,1,999.99
176666,Wired Headphones,1,11.99
176667,27in 4K Gaming Monitor,1,389.99
176668,AA Batteries (4-pack),1,3.84
176669,27in FHD Monitor,1,149.99
176670,Apple Airpods Headphones,1,150.0
176671,AAA Batteries (4-pack),2,2.99
176672,Lightning Charging Cable,1,14.95
176672,USB-C Charging Cable,1,11.95
176673,20in Monitor,1,109.99
176674,AAA Batteries (4-pack),3,2.99
176675,AAA Batteries (4-pack),1,2.99
176676,LG Dryer,1,600.0
176677,34in Ultrawide Monitor,1,379.99
176678,AA Batteries (4-pack),2,3.84
176679,Apple Airpods Headphones,1,150.0
176680,USB-C Charging Cable,1,11.95
176681,Apple Airpods Headphones,1,150.0
176681,ThinkPad Laptop,1,999.99
176682,Lightning Charging Cable,1,14.95
176683,AA Batteries (4-pack),1,3.84
176684,USB-C Charging Cable,1,11.95
176685,34in Ultrawide Monitor,1,379.99
176686,Wired Headphones,1,11.99
176687,Macbook Pro Laptop,1,1700.0
176688,Flatscreen TV,1,300.0
176689,Bose SoundSport Headphones,1,99.99
176689,AAA Batteries (4-pack),2,2.99
176690,20in Monitor,1,109.99
176691,AAA Batteries (4-pack),1,2.99
176692,Wired Headphones,1,11.99
176693,AA Batteries (4-pack),1,3.84
176694,USB-C Charging Cable,1,11.95
176695,AA Batteries (4-pack),2,3.84
176696,iPhone,1,700.0
176697,Wired Headphones,1,11.99
176698,Bose SoundSport Headphones,1,99.99
176699,Bose SoundSport Headphones,1,99.99
176700,34in Ultrawide Monitor,1,379.99
176701,USB-C Charging Cable,1,11.95
176702,AA Batteries (4-pack),1,3.84
176703,20in Monitor,1,109.99
176704,AA Batteries (4-pack),2,3.84
176705,Lightning Charging Cable,2,14.95
176706,Lightning Charging Cable,1,14.95
176707,Apple Airpods Headphones,1,150.0
176708,Wired Headphones,1,11.99
176709,AA Batteries (4-pack),1,3.84
176710,20in Monitor,2,109.99
176711,Flatscreen TV,1,300.0
176712,Google Phone,1,600.0
176713,Wired Headphones,1,11.99
176714,USB-C Charging Cable,1,11.95
176715,Apple Airpods Headphones,1,150.0
176716,Wired Headphones,1,11.99
176717,Apple Airpods Headphones,1,150.0
176718,Lightning Charging Cable,1,14.95
176719,Flatscreen TV,1,300.0
176720,Lightning Charging Cable,1,14.95
176721,AAA Batteries (4-pack),1,2.99
176722,27in 4K Gaming Monitor,1,389.99
176723,27in 4K Gaming Monitor,1,389.99
176724,Lightning Charging Cable,1,14.95
176725,AA Batteries (4-pack),2,3.84
176726,USB-C Charging Cable,1,11.95
176727,Lightning Charging Cable,1,14.95
176728,Lightning Charging Cable,1,14.95
176729,USB-C Charging Cable,1,11.95
176730,Bose SoundSport Headphones,1,99.99
176731,AAA Batteries (4-pack),2,2.99
176732,iPhone,1,700.0
176733,20in Monitor,1,109.99
176734,Apple Airpods Headphones,1,150.0
176735,27in FHD Monitor,1,149.99
176736,AA Batteries (4-pack),1,3.84
176737,Apple Airpods Headphones,1,150.0
176738,AA Batteries (4-pack),1,3.84
176739,34in Ultrawide Monitor,1,379.99
176739,Google Phone,1,600.0
176740,Bose SoundSport Headphones,1,99.99
176741,USB-C Charging Cable,1,11.95
176742,Wired Headphones,1,11.99
176743,27in 4K Gaming Monitor,1,389.99
176744,Lightning Charging Cable,1,14.95
176745,Wired Headphones,1,11.99
176746,27in 4K Gaming Monitor,1,389.99
176747,Macbook Pro Laptop,1,1700.0
176748,Flatscreen TV,1,300.0
176749,ThinkPad Laptop,1,999.99
176750,AA Batteries (4-pack),1,3.84
176751,AAA Batteries (4-pack),1,2.99
176752,AA Batteries (4-pack),1,3.84
176753,USB-C Charging Cable,1,11.95
176754,34in Ultrawide Monitor,1,379.99
176755,27in 4K Gaming Monitor,1,389.99
176756,27in FHD Monitor,1,149.99
176757,AA Batteries (4-pack),1,3.84
176758,34in Ultrawide Monitor,1,379.99
176759,Lightning Charging Cable,1,14.95
176760,Wired Headphones,1,11.99
176761,Apple Airpods Headphones,1,150.0
176762,AA Batteries (4-pack),1,3.84
176763,USB-C Charging Cable,1,11.95
176764,Wired Headphones,1,11.99
176765,USB-C Charging Cable,1,11.95
176766,AA Batteries (4-pack),2,3.84
176767,27in 4K Gaming Monitor,1,389.99
176768,Wired Headphones,1,11.99
176769,AA Batteries (4-pack),1,3.84
176770,Wired Headphones,1,11.99
176771,Lightning Charging Cable,1,14.95
176772,AA Batteries (4-pack),1,3.84
176773,AAA Batteries (4-pack),2,2.99
176774,Lightning Charging Cable,1,14.95
176774,USB-C Charging Cable,1,11.95
176775,USB-C Charging Cable,2,11.95
176776,Bose SoundSport Headphones,1,99.99
176777,Apple Airpods Headphones,1,150.0
176778,34in Ultrawide Monitor,1,379.99
176779,27in FHD Monitor,1,149.99
176780,Lightning Charging Cable,1,14.95
176781,iPhone,1,700.0
176781,Lightning Charging Cable,1,14.95
176782,Apple Airpods Headphones,1,150.0
176783,Apple Airpods Headphones,1,150.0
176784,AAA Batteries (4-pack),1,2.99
176785,Bose SoundSport Headphones,1,99.99
176786,20in Monitor,1,109.99
176787,Google Phone,1,600.0
176788,Bose SoundSport Headphones,1,99.99
176789,Lightning Charging Cable,1,14.95
176790,AAA Batteries (4-pack),1,2.99
176791,Google Phone,1,600.0
176792,27in 4K Gaming Monitor,1,389.99
176793,Wired Headphones,1,11.99
176794,Lightning Charging Cable,1,14.95
176795,Wired Headphones,1,11.99
176796,Bose SoundSport Headphones,1,99.99
176797,Google Phone,1,600.0
176797,Bose SoundSport Headphones,1,99.99
176797,Wired Headphones,1,11.99
176798,iPhone,1,700.0
176799,Wired Headphones,1,11.99
176800,Lightning Charging Cable,1,14.95
176801,Vareebadd Phone,1,400.0
176802,AA Batteries (4-pack),1,3.84
176803,AA Batteries (4-pack),1,3.84
176804,Bose SoundSport Headphones,1,99.99
176805,Google Phone,1,600.0
176805,USB-C Charging Cable,1,11.95
176806,Macbook Pro Laptop,1,1700.0
176807,USB-C Charging Cable,1,11.95
176808,Google Phone,1,600.0
176808,Wired Headphones,1,11.99
176809,Bose SoundSport Headphones,2,99.99
176810,AAA Batteries (4-pack),1,2.99
176811,AA Batteries (4-pack),2,3.84
176812,Wired Headphones,1,11.99
176813,Google Phone,1,600.0
176813,Wired Headphones,1,11.99
176814,Lightning Charging Cable,1,14.95
176815,AAA Batteries (4-pack),1,2.99
176816,27in 4K Gaming Monitor,1,389.99
176817,Lightning Charging Cable,1,14.95
176818,Wired Headphones,1,11.99
176819,AA Batteries (4-pack),2,3.84
176820,USB-C Charging Cable,1,11.95
176821,34in Ultrawide Monitor,1,379.99
176822,AAA Batteries (4-pack),1,2.99
176823,Wired Headphones,1,11.99
176824,USB-C Charging Cable,2,11.95
176825,LG Washing Machine,1,600.0
176826,Bose SoundSport Headphones,1,99.99
176827,AAA Batteries (4-pack),1,2.99
176828,iPhone,1,700.0
176829,Wired Headphones,1,11.99
176830,Wired Headphones,1,11.99
176831,USB-C Charging Cable,1,11.95
176832,Apple Airpods Headphones,1,150.0
176833,Wired Headphones,1,11.99
176834,Lightning Charging Cable,1,14.95
176835,USB-C Charging Cable,1,11.95
176836,USB-C Charging Cable,2,11.95
176837,Lightning Charging Cable,1,14.95
176838,Lightning Charging Cable,1,14.95
176839,20in Monitor,1,109.99
176840,USB-C Charging Cable,1,11.95
176841,AAA Batteries (4-pack),3,2.99
176842,AA Batteries (4-pack),2,3.84
176843,34in Ultrawide Monitor,1,379.99
176844,AA Batteries (4-pack),1,3.84
176845,USB-C Charging Cable,1,11.95
176846,USB-C Charging Cable,1,11.95
176847,AA Batteries (4-pack),3,3.84
176848,27in FHD Monitor,1,149.99
176849,34in Ultrawide Monitor,1,379.99
176850,AA Batteries (4-pack),1,3.84
176851,AA Batteries (4-pack),1,3.84
176852,AA Batteries (4-pack),1,3.84
176853,AA Batteries (4-pack),1,3.84
176854,AA Batteries (4-pack),1,3.84
176855,Wired Headphones,1,11.99
176856,Lightning Charging Cable,1,14.95
176857,Bose SoundSport Headphones,1,99.99
176858,AAA Batteries (4-pack),1,2.99
176859,AA Batteries (4-pack),1,3.84
176860,USB-C Charging Cable,1,11.95
176861,Bose SoundSport Headphones,1,99.99
176862,AAA Batteries (4-pack),1,2.99
176863,27in FHD Monitor,1,149.99
176864,AAA Batteries (4-pack),2,2.99
176865,AA Batteries (4-pack),1,3.84
176866,ThinkPad Laptop,1,999.99
176867,AAA Batteries (4-pack),1,2.99
176868,20in Monitor,1,109.99
176869,Apple Airpods Headphones,1,150.0
176870,AAA Batteries (4-pack),3,2.99
176871,AA Batteries (4-pack),1,3.84
176872,AA Batteries (4-pack),1,3.84
176873,AA Batteries (4-pack),1,3.84
176874,AAA Batteries (4-pack),1,2.99
176875,27in 4K Gaming Monitor,1,389.99
176876,Bose SoundSport Headphones,1,99.99
176877,Lightning Charging Cable,1,14.95
176878,ThinkPad Laptop,1,999.99
176879,Flatscreen TV,1,300.0
176880,27in FHD Monitor,1,149.99
176881,Wired Headphones,1,11.99
176882,Wired Headphones,1,11.99
176883,Wired Headphones,2,11.99
176884,USB-C Charging Cable,1,11.95
176885,34in Ultrawide Monitor,1,379.99
176886,Flatscreen TV,1,300.0
176887,AAA Batteries (4-pack),1,2.99
176888,Wired Headphones,1,11.99
176889,AAA Batteries (4-pack),1,2.99
176890,USB-C Charging Cable,1,11.95
176891,AAA Batteries (4-pack),1,2.99
176892,AAA Batteries (4-pack),1,2.99
176893,AAA Batteries (4-pack),1,2.99
176894,Flatscreen TV,1,300.0
176895,Apple Airpods Headphones,1,150.0
176896,AAA Batteries (4-pack),2,2.99
176897,Apple Airpods Headphones,1,150.0
176898,Apple Airpods Headphones,1,150.0
176899,Lightning Charging Cable,1,14.95
176900,Bose SoundSport Headphones,1,99.99
176901,Lightning Charging Cable,1,14.95
176902,USB-C Charging Cable,1,11.95
176903,iPhone,1,700.0
176904,AAA Batteries (4-pack),1,2.99
176905,27in FHD Monitor,1,149.99
176906,27in FHD Monitor,1,149.99
176907,27in FHD Monitor,1,149.99
176908,AAA Batteries (4-pack),1,2.99
176909,Wired Headphones,1,11.99
176910,AAA Batteries (4-pack),2,2.99
176911,AAA Batteries (4-pack),1,2.99
176912,Apple Airpods Headphones,1,150.0
176913,AAA Batteries (4-pack),1,2.99
176914,Lightning Charging Cable,1,14.95
176915,AAA Batteries (4-pack),1,2.99
176916,34in Ultrawide Monitor,1,379.99
176917,USB-C Charging Cable,1,11.95
176918,USB-C Charging Cable,1,11.95
176919,AAA Batteries (4-pack),1,2.99
176920,Apple Airpods Headphones,1,150.0
176921,Lightning Charging Cable,1,14.95
176922,Bose SoundSport Headphones,1,99.99
176923,LG Washing Machine,1,600.0
176924,Bose SoundSport Headphones,1,99.99
176925,Lightning Charging Cable,1,14.95
176926,USB-C Charging Cable,1,11.95
176927,Wired Headphones,1,11.99
176928,AAA Batteries (4-pack),1,2.99
176929,ThinkPad Laptop,1,999.99
176930,USB-C Charging Cable,1,11.95
176931,ThinkPad Laptop,1,999.99
176932,34in Ultrawide Monitor,1,379.99
176933,Flatscreen TV,1,300.0
176934,AAA Batteries (4-pack),1,2.99
176935,AAA Batteries (4-pack),1,2.99
176935,27in FHD Monitor,1,149.99
176936,Apple Airpods Headphones,1,150.0
176937,Google Phone,1,600.0
176938,AAA Batteries (4-pack),1,2.99
176939,AAA Batteries (4-pack),1,2.99
176940,Lightning Charging Cable,1,14.95
176941,27in 4K Gaming Monitor,1,389.99
176942,AA Batteries (4-pack),1,3.84
176943,Lightning Charging Cable,1,14.95
176944,Bose SoundSport Headphones,1,99.99
176945,USB-C Charging Cable,1,11.95
176946,Lightning Charging Cable,1,14.95
176947,AA Batteries (4-pack),2,3.84
176948,Wired Headphones,1,11.99
176949,USB-C Charging Cable,1,11.95
176950,Lightning Charging Cable,1,14.95
176951,USB-C Charging Cable,2,11.95
176952,AAA Batteries (4-pack),1,2.99
176953,Flatscreen TV,1,300.0
176954,Bose SoundSport Headphones,1,99.99
176955,AAA Batteries (4-pack),1,2.99
176956,AA Batteries (4-pack),1,3.84
176957,Google Phone,1,600.0
176958,Bose SoundSport Headphones,1,99.99
176959,Wired Headphones,1,11.99
176960,Bose SoundSport Headphones,1,99.99
176961,27in FHD Monitor,1,149.99
176962,Wired Headphones,1,11.99
176963,AAA Batteries (4-pack),2,2.99
176964,AAA Batteries (4-pack),1,2.99
176965,Lightning Charging Cable,1,14.95
176966,Bose SoundSport Headphones,1,99.99
176967,27in 4K Gaming Monitor,1,389.99
176968,Bose SoundSport Headphones,1,99.99
176969,AA Batteries (4-pack),1,3.84
176970,Bose SoundSport Headphones,1,99.99
176971,AAA Batteries (4-pack),1,2.99
176972,27in FHD Monitor,1,149.99
176973,Wired Headphones,1,11.99
176974,ThinkPad Laptop,1,999.99
176975,USB-C Charging Cable,1,11.95
176975,AAA Batteries (4-pack),1,2.99
176976,27in FHD Monitor,1,149.99
176977,Bose SoundSport Headphones,1,99.99
176978,Apple Airpods Headphones,1,150.0
176979,AAA Batteries (4-pack),2,2.99
176980,Bose SoundSport Headphones,1,99.99
176981,Google Phone,1,600.0
176982,iPhone,1,700.0
176983,AAA Batteries (4-pack),2,2.99
176984,Apple Airpods Headphones,1,150.0
176985,USB-C Charging Cable,1,11.95
176986,Apple Airpods Headphones,1,150.0
176987,AAA Batteries (4-pack),1,2.99
176988,Lightning Charging Cable,1,14.95
176989,Google Phone,1,600.0
176989,USB-C Charging Cable,1,11.95
176990,27in FHD Monitor,1,149.99
176991,Bose SoundSport Headphones,1,99.99
176992,AAA Batteries (4-pack),2,2.99
176993,iPhone,1,700.0
176993,Wired Headphones,1,11.99
176994,Google Phone,1,600.0
176995,AA Batteries (4-pack),2,3.84
176996,Wired Headphones,1,11.99
176997,AA Batteries (4-pack),1,3.84
176998,Bose SoundSport Headphones,1,99.99
176999,Lightning Charging Cable,1,14.95
177000,USB-C Charging Cable,1,11.95
177001,Wired Headphones,1,11.99
177002,USB-C Charging Cable,1,11.95
177003,USB-C Charging Cable,1,11.95
177004,AAA Batteries (4-pack),1,2.99
177005,Lightning Charging Cable,1,14.95
177006,34in Ultrawide Monitor,1,379.99
177007,AAA Batteries (4-pack),1,2.99
177008,Apple Airpods Headphones,1,150.0
177009,AA Batteries (4-pack),1,3.84
177010,Apple Airpods Headphones,1,150.0
177011,Wired Headphones,2,11.99
177012,Lightning Charging Cable,3,14.95
177013,AAA Batteries (4-pack),1,2.99
177014,Lightning Charging Cable,1,14.95
177015,Lightning Charging Cable,1,14.95
177016,USB-C Charging Cable,1,11.95
177017,AAA Batteries (4-pack),5,2.99
177018,USB-C Charging Cable,1,11.95
177019,USB-C Charging Cable,1,11.95
177020,Macbook Pro Laptop,1,1700.0
177021,Bose SoundSport Headphones,1,99.99
177022,iPhone,1,700.0
177022,Wired Headphones,1,11.99
177023,AAA Batteries (4-pack),1,2.99
177024,Bose SoundSport Headphones,1,99.99
177025,27in FHD Monitor,1,149.99
177026,34in Ultrawide Monitor,1,379.99
177027,USB-C Charging Cable,1,11.95
177028,Bose SoundSport Headphones,1,99.99
177029,Wired Headphones,1,11.99
177030,USB-C Charging Cable,1,11.95
177031,Apple Airpods Headphones,1,150.0
177032,iPhone,1,700.0
177033,USB-C Charging Cable,1,11.95
177034,USB-C Charging Cable,1,11.95
177035,Bose SoundSport Headphones,1,99.99
177036,Lightning Charging Cable,2,14.95
177037,34in Ultrawide Monitor,1,379.99
177038,iPhone,1,700.0
177039,AAA Batteries (4-pack),1,2.99
177040,USB-C Charging Cable,1,11.95
177041,Wired Headphones,1,11.99
177042,Lightning Charging Cable,1,14.95
177043,27in 4K Gaming Monitor,1,389.99
177044,AA Batteries (4-pack),1,3.84
177045,Flatscreen TV,1,300.0
177046,Vareebadd Phone,1,400.0
177047,Lightning Charging Cable,1,14.95
177048,Bose SoundSport Headphones,1,99.99
177049,Wired Headphones,1,11.99
177050,Apple Airpods Headphones,1,150.0
177051,Wired Headphones,2,11.99
177052,USB-C Charging Cable,2,11.95
177053,Wired Headphones,1,11.99
177054,Apple Airpods Headphones,1,150.0
177055,Lightning Charging Cable,1,14.95
177056,Flatscreen TV,1,300.0
177057,Bose SoundSport Headphones,1,99.99
177058,20in Monitor,1,109.99
177059,AAA Batteries (4-pack),1,2.99
177060,AA Batteries (4-pack),1,3.84
177061,Bose SoundSport Headphones,1,99.99
177062,Apple Airpods Headphones,1,150.0
177063,AAA Batteries (4-pack),1,2.99
177064,Wired Headphones,1,11.99
177065,AAA Batteries (4-pack),4,2.99
177066,Macbook Pro Laptop,1,1700.0
177067,Lightning Charging Cable,1,14.95
177068,27in FHD Monitor,1,149.99
177069,iPhone,1,700.0
177070,USB-C Charging Cable,1,11.95
177071,34in Ultrawide Monitor,1,379.99
177072,iPhone,1,700.0
177073,AA Batteries (4-pack),3,3.84
177074,27in FHD Monitor,1,149.99
177075,Bose SoundSport Headphones,1,99.99
177076,Wired Headphones,1,11.99
177077,AAA Batteries (4-pack),1,2.99
177078,USB-C Charging Cable,1,11.95
177079,Lightning Charging Cable,1,14.95
177080,AAA Batteries (4-pack),1,2.99
177081,Flatscreen TV,1,300.0
177082,34in Ultrawide Monitor,1,379.99
177083,Flatscreen TV,1,300.0
177084,AA Batteries (4-pack),1,3.84
177085,iPhone,1,700.0
177086,Lightning Charging Cable,1,14.95
177087,Wired Headphones,1,11.99
177088,AAA Batteries (4-pack),3,2.99
177089,Apple Airpods Headphones,1,150.0
177090,USB-C Charging Cable,1,11.95
177091,Apple Airpods Headphones,1,150.0
177092,AAA Batteries (4-pack),1,2.99
177093,27in FHD Monitor,1,149.99
177094,Flatscreen TV,1,300.0
177095,Lightning Charging Cable,1,14.95
177096,USB-C Charging Cable,1,11.95
177097,Vareebadd Phone,1,400.0
177098,Apple Airpods Headphones,1,150.0
177099,AA Batteries (4-pack),1,3.84
177100,ThinkPad Laptop,1,999.99
177101,Flatscreen TV,1,300.0
177102,iPhone,1,700.0
177102,27in 4K Gaming Monitor,1,389.99
177103,ThinkPad Laptop,1,999.99
177104,Lightning Charging Cable,1,14.95
177105,Bose SoundSport Headphones,1,99.99
177106,USB-C Charging Cable,1,11.95
177107,Bose SoundSport Headphones,1,99.99
177108,Bose SoundSport Headphones,1,99.99
177109,Bose SoundSport Headphones,1,99.99
177110,AAA Batteries (4-pack),2,2.99
177111,USB-C Charging Cable,1,11.95
177112,USB-C Charging Cable,1,11.95
177113,20in Monitor,1,109.99
177114,Apple Airpods Headphones,1,150.0
177115,iPhone,1,700.0
177115,Lightning Charging Cable,1,14.95
177116,Bose SoundSport Headphones,1,99.99
177117,ThinkPad Laptop,1,999.99
177117,AAA Batteries (4-pack),1,2.99
177118,AA Batteries (4-pack),1,3.84
177119,Vareebadd Phone,1,400.0
177120,Macbook Pro Laptop,1,1700.0
177121,Lightning Charging Cable,1,14.95
177122,Apple Airpods Headphones,1,150.0
177123,Flatscreen TV,1,300.0
177124,Lightning Charging Cable,1,14.95
177125,Lightning Charging Cable,1,14.95
177126,Bose SoundSport Headphones,1,99.99
177127,27in FHD Monitor,1,149.99
177128,Flatscreen TV,1,300.0
177129,Apple Airpods Headphones,1,150.0
177130,LG Washing Machine,1,600.0
177131,Lightning Charging Cable,1,14.95
177132,27in FHD Monitor,1,149.99
177133,27in FHD Monitor,1,149.99
177134,Lightning Charging Cable,1,14.95
177135,iPhone,1,700.0
177136,USB-C Charging Cable,1,11.95
177137,AA Batteries (4-pack),1,3.84
177138,AAA Batteries (4-pack),1,2.99
177139,Apple Airpods Headphones,2,150.0
177140,Lightning Charging Cable,1,14.95
177141,AAA Batteries (4-pack),1,2.99
177142,Lightning Charging Cable,1,14.95
177143,Wired Headphones,1,11.99
177144,27in 4K Gaming Monitor,1,389.99
177145,LG Washing Machine,1,600.0
177146,Lightning Charging Cable,1,14.95
177147,20in Monitor,1,109.99
177148,USB-C Charging Cable,1,11.95
177149,34in Ultrawide Monitor,1,379.99
177150,Wired Headphones,1,11.99
177151,ThinkPad Laptop,1,999.99
177152,ThinkPad Laptop,1,999.99
177153,Flatscreen TV,1,300.0
177154,AAA Batteries (4-pack),1,2.99
177155,Lightning Charging Cable,1,14.95
177156,Apple Airpods Headphones,1,150.0
177157,AA Batteries (4-pack),1,3.84
177158,Lightning Charging Cable,2,14.95
177159,AAA Batteries (4-pack),1,2.99
177160,AAA Batteries (4-pack),7,2.99
177161,Wired Headphones,1,11.99
177162,Bose SoundSport Headphones,1,99.99
177163,Wired Headphones,1,11.99
177164,Lightning Charging Cable,1,14.95
177165,Wired Headphones,1,11.99
177166,Wired Headphones,1,11.99
177167,iPhone,1,700.0
177167,Apple Airpods Headphones,1,150.0
177167,AAA Batteries (4-pack),3,2.99
177168,Google Phone,1,600.0
177169,27in FHD Monitor,1,149.99
177170,USB-C Charging Cable,1,11.95
177171,Vareebadd Phone,1,400.0
177172,Bose SoundSport Headphones,1,99.99
177173,Lightning Charging Cable,1,14.95
177174,AAA Batteries (4-pack),1,2.99
177175,Macbook Pro Laptop,1,1700.0
177176,USB-C Charging Cable,1,11.95
177177,AA Batteries (4-pack),1,3.84
177178,iPhone,1,700.0
177178,Lightning Charging Cable,1,14.95
177179,Lightning Charging Cable,1,14.95
177180,USB-C Charging Cable,1,11.95
177181,Wired Headphones,1,11.99
177181,Apple Airpods Headphones,1,150.0
177182,Macbook Pro Laptop,1,1700.0
177182,ThinkPad Laptop,1,999.99
177183,Wired Headphones,1,11.99
177184,AA Batteries (4-pack),1,3.84
177184,Flatscreen TV,1,300.0
177185,Lightning Charging Cable,1,14.95
177186,Bose SoundSport Headphones,1,99.99
177187,Google Phone,1,600.0
177188,AAA Batteries (4-pack),2,2.99
177189,Bose SoundSport Headphones,1,99.99
177190,Lightning Charging Cable,1,14.95
177191,Bose SoundSport Headphones,1,99.99
177192,AAA Batteries (4-pack),1,2.99
177193,Apple Airpods Headphones,1,150.0
177194,Lightning Charging Cable,1,14.95
177195,AA Batteries (4-pack),1,3.84
177196,Apple Airpods Headphones,1,150.0
177197,ThinkPad Laptop,1,999.99
177198,Vareebadd Phone,1,400.0
177198,USB-C Charging Cable,2,11.95
177199,iPhone,1,700.0
177200,AAA Batteries (4-pack),1,2.99
177201,USB-C Charging Cable,1,11.95
177201,Lightning Charging Cable,1,14.95
177202,USB-C Charging Cable,1,11.95
177203,27in FHD Monitor,1,149.99
177204,Lightning Charging Cable,1,14.95
177205,AA Batteries (4-pack),2,3.84
177206,Apple Airpods Headphones,1,150.0
177207,USB-C Charging Cable,1,11.95
177208,Vareebadd Phone,1,400.0
177209,Lightning Charging Cable,1,14.95
177210,AA Batteries (4-pack),1,3.84
177211,AA Batteries (4-pack),3,3.84
177212,Lightning Charging Cable,1,14.95
177213,iPhone,1,700.0
177213,Lightning Charging Cable,1,14.95
177214,AAA Batteries (4-pack),2,2.99
177215,Bose SoundSport Headphones,1,99.99
177216,Macbook Pro Laptop,1,1700.0
177217,Macbook Pro Laptop,1,1700.0
177218,Wired Headphones,1,11.99
177219,AA Batteries (4-pack),1,3.84
177220,Wired Headphones,1,11.99
177221,34in Ultrawide Monitor,1,379.99
177222,AA Batteries (4-pack),3,3.84
177223,27in 4K Gaming Monitor,1,389.99
177224,Lightning Charging Cable,1,14.95
177225,ThinkPad Laptop,1,999.99
177226,Lightning Charging Cable,1,14.95
